,author1,author2
953,殷景文,钮卫东
954,殷景文,许业和
955,钮卫东,许业和
956,嵇雪华,庄建伟
957,樊钧,李锋
958,翟斌庆,陈炳泉
959,翟斌庆,许楗
960,翟斌庆,潘婧
961,陈炳泉,许楗
962,陈炳泉,潘婧
963,许楗,潘婧
964,陈宏胜,李丽
965,陈宏胜,李志刚
966,李丽,李志刚
967,王纪武,蒋婧
968,周媛,石铁矛
969,周媛,胡远满
970,周媛,刘淼
971,石铁矛,胡远满
972,石铁矛,刘淼
973,胡远满,刘淼
974,吕佳,张聪达
975,吕佳,林静
976,张聪达,林静
977,田明,彭宇
978,李慧栋,李同升
979,李慧栋,张洁
980,李慧栋,张建忠
981,李慧栋,徐冬平
982,李同升,张洁
983,李同升,张建忠
984,李同升,徐冬平
985,张洁,张建忠
986,张洁,徐冬平
987,张建忠,徐冬平
988,田莉,戈壁青
989,田莉,李永浮
990,戈壁青,李永浮
991,陈泳,赵杏花
992,张继刚,赵万民
993,姜涛,李延新
994,姜涛,秦涛
995,李延新,秦涛
996,杨忠伟,王震
997,黄明华,丁亮
998,董卫,崔玲
999,李彦伯,诸大建
1000,李肇娥,郭鹏
1001,李肇娥,吴鹏
1002,李肇娥,罗旖旎
1003,郭鹏,吴鹏
1004,郭鹏,罗旖旎
1005,吴鹏,罗旖旎
1006,张琳,王敏
1007,张琳,俞波睿
1008,张琳,王星
1009,王敏,俞波睿
1010,王敏,王星
1011,俞波睿,王星
1012,梁东,樊婧怡
1013,梁东,陈健
1014,梁东,王晓
1015,樊婧怡,陈健
1016,樊婧怡,王晓
1017,陈健,王晓
1018,赵在绪,周铁军
1019,赵在绪,陶陶
1020,周铁军,陶陶
1021,袁青,刘通
1022,张朝晖,邱红
1023,张朝晖,何闽
1024,张朝晖,魏科
1025,邱红,何闽
1026,邱红,魏科
1027,何闽,魏科
1028,杨明,和朝东
1029,杨明,朱洁
1030,和朝东,朱洁
1031,张景奇,孙萍
1032,张景奇,孙蕊
1033,孙萍,孙蕊
1034,严瑞河,刘春成
1035,黄建中,吴萌
1036,黄建中,张乔
1037,吴萌,张乔
1038,刘龙胜,马亮
1039,刘龙胜,邓肯
1040,马亮,邓肯
1041,吴娇蓉,华陈睿
1042,吴娇蓉,王达琳
1043,华陈睿,王达琳
1044,石飞,徐向远
1045,陈勇,杨滔
1046,白韵溪,陆伟
1047,白韵溪,刘涟涟
1048,陆伟,刘涟涟
1049,邓昭华,王世福
1050,邓昭华,赵渺希
1051,王世福,赵渺希
1052,段进,陈晓东
1053,段进,钱艳
1054,陈晓东,钱艳
1055,张丽梅,洪再生
1056,张丽梅,师武军
1057,张丽梅,高相铎
1058,洪再生,师武军
1059,洪再生,高相铎
1060,师武军,高相铎
1061,全波,李鑫
1062,冯文勇,王乃昂
1063,冯文勇,何彤慧
1064,王乃昂,何彤慧
1065,宋小冬,陈晨
1066,宋小冬,周静
1067,宋小冬,翟永磊
1068,宋小冬,李书杰
1069,陈晨,周静
1070,陈晨,翟永磊
1071,陈晨,李书杰
1072,周静,翟永磊
1073,周静,李书杰
1074,翟永磊,李书杰
1075,刘伦,龙瀛
1076,刘伦,麦克·巴蒂
1077,龙瀛,麦克·巴蒂
1078,何依,邓巍
1079,吴庆洲,李炎
1080,吴庆洲,吴运江
1081,吴庆洲,刘小刚
1082,李炎,吴运江
1083,李炎,刘小刚
1084,吴运江,刘小刚
1085,杨冬冬,刘海龙
1086,高源,吴晓
1087,高源,强欢欢
1088,吴晓,强欢欢
1089,陈明,马嵩
1090,付帅,扈万泰
1091,王孟永,王伟强
1092,陈有川,王林申
1093,陈有川,孔伟
1094,王林申,孔伟
1095,左长安,邢丛丛
1096,左长安,董睿
1097,左长安,康翠霞
1098,邢丛丛,董睿
1099,邢丛丛,康翠霞
1100,董睿,康翠霞
1101,余颖,钱紫华
1102,罗翔,吴君炜
1103,孟庆,余颖
1104,孟庆,辜元
1105,孟庆,李鹏
1106,孟庆,曹力维
1107,孟庆,冷炳荣
